top k disease,1
key,all
icd_code,count,delete,English,Chinese
7865,3338,,
486,3213,,"Pneumonia, organism unspecified"
5849,3124,,"Acute kidney failure, unspecified"
4140,2999,,
a419,2848,,
389,2814,,
v581,2553,,
7890,2552,,
4283,2460,,
4107,2453,,
5990,2451,,"Urinary tract infection, site not specified"
4273,2321,,
5770,2161,,Acute pancreatitis
4282,2123,,
7802,1850,,Syncope and collapse
i214,1716,,
i130,1597,,
i251,1547,,
6826,1523,,"Cellulitis and abscess of leg, except foot"
n179,1496,,
z511,1440,,
9966,1349,,
j189,1326,,
9985,1284,,
5621,1271,,
384,1229,,
4151,1220,,
4912,1174,,
n390,1172,,
4349,1137,,
9967,1108,,
2765,1084,,
5188,1066,,
4341,1059,,
i110,1054,,
5070,1022,,Pneumonitis due to inhalation of food or vomitus
7806,960,,Fever
4278,951,,
431,947,,Intracerebral hemorrhage
2506,926,,
4241,922,,Aortic valve disorders
9968,922,,
4402,913,,
5789,899,,"Hemorrhage of gastrointestinal tract, unspecified"
2918,893,,
2508,881,,
84,879,,
2963,856,,
i634,837,,
88,836,,
a415,832,,
l031,821,,
t814,815,,
i269,765,,
9981,723,,
t828,719,,
j441,714,,
4932,678,,
7870,665,,
e116,664,,
4939,655,,
2501,644,,
5609,644,,Unspecified intestinal obstruction
i502,639,,
2962,634,,
2880,625,,Diseases of white blood cells
3459,620,,
1983,619,,Secondary malignant neoplasm of brain and spinal cord
i503,612,,
2761,610,,Hyposmolality and/or hyponatremia
5589,607,,Other and unspecified noninfectious gastroenteritis and colitis
9993,600,,
4534,599,,
5745,598,,
9974,593,,"Digestive system complications, not elsewhere classified"
4580,587,,Orthostatic hypotension
k566,586,,
r078,583,,
5761,574,,Cholangitis
r55,565,,
4284,560,,
i350,553,,
5781,540,,Blood in stool
k918,535,,
k703,532,,
2780,530,,
8522,527,,
f102,524,,
7803,519,,
5640,513,,
k573,511,,
4039,508,,
i489,505,,
5712,490,,Alcoholic cirrhosis of liver
5722,490,,Hepatic encephalopathy
4271,482,,Paroxysmal ventricular tachycardia
42,482,,
j960,474,,
5608,457,,
4829,453,,"Bacterial pneumonia, unspecified"
7331,453,,
4359,452,,Unspecified transient cerebral ischemia
7860,447,,
a418,446,,
2969,439,,
j690,434,,
5762,432,,Obstruction of bile duct
k921,426,,
381,414,,
2957,411,,
4331,410,,
7879,410,,
3861,405,,
a047,402,,
1550,397,,"Malignant neoplasm of liver, primary"
k859,396,,
s065,393,,
2989,393,,Unspecified psychosis
7221,390,,
3483,385,,
